Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	AverageTestEpC0	StdTestEpC0	MaxTestEpC0	MinTestEpC0	AverageTestEpC1	StdTestEpC1	MaxTestEpC1	MinTestEpC1	TestEpLen
36	9.148023358446567	3.3124256101414273	12.924100673999636	4.492830471773631	108.76923076923077	4.065206	2.0755067	6.8021564	-1.1565588	370000	-0.45914218	0.47811073	-0.0062063634	-0.030106246	-40.094574	-0.001174501	450.44223952293396	22.20289862949401	0.2850807694718256	22.487979398965834	21.917817860022183	-0.13478245718404658	0.0014190240763126694	-0.1333634331077339	-0.13620148126035925	123.5
37	9.358972502683121	3.1861494339749763	12.751222884040324	4.45902087976341	110.58888888888889	4.0604553	2.0367405	6.7907796	-1.398813	380000	0.13733682	0.4177522	0.022602946	-0.011309922	-40.17113	0.00607719	462.5844078063965	20.032613624315708	6.953331542294469	26.985945166610176	13.079282082021237	-0.1451040179096163	0.014231159891933298	-0.130872858017683	-0.1593351778015496	110.0
38	8.698502769894425	3.3091567937065416	13.267650066204375	4.462289091764249	104.0625	3.9654374	2.0545704	6.788678	-1.485773	390000	-0.23504375	0.48385683	-0.010078266	-0.028526664	-39.912518	-0.029692585	474.45690178871155	23.865513404272498	0.005532572530208668	23.87104597680271	23.85998083174229	-0.1330822093226014	0.0013942121528088824	-0.13168799716979251	-0.13447642147541028	132.0
39	9.383853930221331	2.9365321321423097	13.172128191012895	4.448480985644275	108.33695652173913	4.0110335	2.0058405	6.8710966	-1.3892356	400000	0.42233574	0.34594968	0.011135489	-0.0344899	-40.019436	-0.029056711	486.1910824775696	18.84082161109894	5.862712771855291	24.70353438295423	12.97810883924365	-0.14250743174925457	0.018595086764543967	-0.1239123449847106	-0.16110251851379853	104.5
40	9.518632748530388	2.69447231986221	12.843281892947847	6.0219439925812175	108.22826086956522	4.1234617	2.0354507	6.85088	-1.3624643	410000	0.1532249	0.2498889	-0.024517283	-0.011523277	-39.968468	-0.029313495	498.62322306632996	22.894724539201704	0.024323948118842864	22.91904848732055	22.870400591082863	-0.13072379069402812	0.000619353149086177	-0.13010443754494194	-0.1313431438431143	126.5
41	9.147719651032435	2.7947109606834655	13.317320977225904	5.914960347209126	104.57894736842105	4.098179	2.0431209	6.8641863	-1.3953373	420000	-0.2959692	0.2736574	-0.004300356	-0.010605305	-39.95844	-0.034638263	510.58694887161255	24.683523120097814	0.047336027473214415	24.730859147571028	24.6361870926246	-0.12759202346205717	0.002553781457245219	-0.12503824200481195	-0.1301458049193024	134.5
42	9.44667636058597	2.797238391332591	13.526851283982399	4.433024628348649	107.77173913043478	4.11497	2.0185313	6.86619	-1.3383566	430000	0.09202383	0.26920223	-0.008131273	-0.0066017807	-40.01523	0.01787907	522.7220237255096	17.570488571021702	4.867372167427086	22.437860738448787	12.703116403594615	-0.14374720048159356	0.018947575353085944	-0.12479962512850762	-0.1626947758346795	101.0
43	9.210190178865785	2.67248447416357	12.959263471048331	6.0439651279337685	105.03191489361703	4.1133156	2.0223386	6.8854904	-1.2885804	440000	-0.10164946	0.2282389	0.007629417	-0.0059322566	-39.959957	0.012044731	534.7910363674164	21.182311534397307	1.5693889733031463	22.751700507700455	19.612922561094162	-0.12878987565636624	0.003498203046619852	-0.12529167260974639	-0.1322880787029861	118.5
44	9.139610330088567	2.5767778678013222	12.399167014900593	6.06187604766339	104.125	4.044884	2.0215957	6.8575435	-1.3001889	450000	-0.031645373	0.21558672	0.005848931	-0.0049999505	-39.917187	-0.013458909	546.6440689563751	16.185022229440513	3.173748808465903	19.358771037906415	13.011273420974609	-0.14456694340333343	0.018183457423001648	-0.12638348598033178	-0.16275040082633507	93.5
45	8.81224880868607	2.7002096595686425	13.321216089297083	5.281521714776752	101.36734693877551	4.021394	1.9742429	6.821814	-1.220996	460000	-0.2036001	0.3054459	0.011576295	-0.02418685	-39.8077	0.024777368	558.647242307663	12.854394041448833	0.3173446581512689	13.171738699600102	12.537049383297564	-0.13405259978026152	0.0001118310913444942	-0.13394076868891702	-0.134164430871606	77.0
